Block Number,Block Timestamp (s),Receipt Time (ms),Delta (ms)
135177616,1745954009,1745954010563,1563
135177617,1745954011,1745954011839,839
135177618,1745954013,1745954014172,1172
135177619,1745954015,1745954016585,1585
135177620,1745954017,1745954018611,1611
135177621,1745954019,1745954019985,985
135177622,1745954021,1745954022389,1389
135177623,1745954023,1745954024387,1387
135177624,1745954025,1745954026128,1128
135177625,1745954027,1745954028279,1279
135177626,1745954029,1745954030327,1327
135177627,1745954031,1745954033109,2109
135177628,1745954033,1745954034154,1154
135177629,1745954035,1745954036109,1109
135177630,1745954037,1745954038416,1416
135177631,1745954039,1745954040567,1567
135177632,1745954041,1745954042260,1260
135177633,1745954043,1745954044458,1458
135177634,1745954045,1745954045789,789
135177635,1745954047,1745954047735,735
135177636,1745954049,1745954049994,994
135177637,1745954051,1745954052137,1137
135177638,1745954053,1745954054186,1186
135177639,1745954055,1745954057289,2289
135177640,1745954057,1745954058283,1283
135177641,1745954059,1745954060976,1976
135177642,1745954061,1745954061935,935
135177643,1745954063,1745954067374,4374
135177644,1745954065,1745954067607,2607
135177645,1745954067,1745954068523,1523
135177646,1745954069,1745954070980,1980
135177647,1745954071,1745954072208,1208
135177648,1745954073,1745954073955,955
135177649,1745954075,1745954075896,896
135177650,1745954077,1745954078148,1148
135177651,1745954079,1745954080811,1811
135177652,1745954081,1745954081904,904
135177653,1745954083,1745954084235,1235
135177654,1745954085,1745954087466,2466
135177655,1745954087,1745954088491,1491
135177656,1745954089,1745954090538,1538
135177657,1745954091,1745954091991,991
135177658,1745954093,1745954094104,1104
135177659,1745954095,1745954096069,1069
135177660,1745954097,1745954098145,1145
135177661,1745954099,1745954100539,1539
135177662,1745954101,1745954102341,1341
135177663,1745954103,1745954104067,1067
135177664,1745954105,1745954105937,937
135177665,1745954107,1745954108315,1315
135177666,1745954109,1745954109892,892
135177667,1745954111,1745954112759,1759
135177668,1745954113,1745954114200,1200
135177669,1745954115,1745954116087,1087
135177670,1745954117,1745954118187,1187
135177671,1745954119,1745954120983,1983
135177672,1745954121,1745954122614,1614
135177673,1745954123,1745954124433,1433
135177674,1745954125,1745954127277,2277
135177675,1745954127,1745954128939,1939
135177676,1745954129,1745954132028,3028
135177677,1745954131,1745954132318,1318
135177678,1745954133,1745954134558,1558
135177679,1745954135,1745954136107,1107
135177680,1745954137,1745954138376,1376
135177681,1745954139,1745954140423,1423
135177682,1745954141,1745954143036,2036
135177683,1745954143,1745954143991,991
135177684,1745954145,1745954146131,1131
135177685,1745954147,1745954148088,1088
135177686,1745954149,1745954150340,1340
135177687,1745954151,1745954151952,952
135177688,1745954153,1745954154552,1552
135177689,1745954155,1745954155986,986
135177690,1745954157,1745954158327,1327
135177691,1745954159,1745954160494,1494
135177692,1745954161,1745954162022,1022
135177693,1745954163,1745954164175,1175
135177694,1745954165,1745954166255,1255
135177695,1745954167,1745954168672,1672
135177696,1745954169,1745954170515,1515
135177697,1745954171,1745954172367,1367
135177698,1745954173,1745954174405,1405
135177699,1745954175,1745954176555,1555
135177700,1745954177,1745954177886,886
135177701,1745954179,1745954180139,1139
135177702,1745954181,1745954182406,1406
135177703,1745954183,1745954184543,1543
135177704,1745954185,1745954186598,1598
135177705,1745954187,1745954188247,1247
135177706,1745954189,1745954190443,1443
135177707,1745954191,1745954192439,1439
135177708,1745954193,1745954194475,1475
135177709,1745954195,1745954196113,1113
135177710,1745954197,1745954198943,1943
135177711,1745954199,1745954200414,1414
135177712,1745954201,1745954201860,860
135177713,1745954203,1745954204203,1203
135177714,1745954205,1745954206251,1251
